STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,unit,Unit of measure,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,ES,Spain,2015,,G_KM,Grams per kilometre,115.3,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,ES,Spain,2016,,G_KM,Grams per kilometre,114.4,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,ES,Spain,2017,,G_KM,Grams per kilometre,139.4,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,ES,Spain,2018,,G_KM,Grams per kilometre,143.1,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,ES,Spain,2019,,G_KM,Grams per kilometre,147,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,ES,Spain,2020,,G_KM,Grams per kilometre,135.5,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,ES,Spain,2021,,G_KM,Grams per kilometre,126,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,ES,Spain,2022,,G_KM,Grams per kilometre,121.5,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,ES,Spain,2023,,G_KM,Grams per kilometre,117.5,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EU27_2020,European Union - 27 countries (from 2020),2014,,G_KM,Grams per kilometre,123.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EU27_2020,European Union - 27 countries (from 2020),2015,,G_KM,Grams per kilometre,119.1,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EU27_2020,European Union - 27 countries (from 2020),2016,,G_KM,Grams per kilometre,117.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EU27_2020,European Union - 27 countries (from 2020),2017,,G_KM,Grams per kilometre,143,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EU27_2020,European Union - 27 countries (from 2020),2018,,G_KM,Grams per kilometre,145.6,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EU27_2020,European Union - 27 countries (from 2020),2019,,G_KM,Grams per kilometre,148,,e,estimated,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EU27_2020,European Union - 27 countries (from 2020),2020,,G_KM,Grams per kilometre,130.8,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EU27_2020,European Union - 27 countries (from 2020),2021,,G_KM,Grams per kilometre,115.7,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EU27_2020,European Union - 27 countries (from 2020),2022,,G_KM,Grams per kilometre,109.8,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,EU27_2020,European Union - 27 countries (from 2020),2023,,G_KM,Grams per kilometre,107.6,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,FI,Finland,2014,,G_KM,Grams per kilometre,127.4,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,FI,Finland,2015,,G_KM,Grams per kilometre,123,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,FI,Finland,2016,,G_KM,Grams per kilometre,120,,,,,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,FI,Finland,2017,,G_KM,Grams per kilometre,143.3,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_13_31$DEFAULTVIEW(1.0),Average CO2 emissions per km from new passenger cars,A,Annual,FI,Finland,2018,,G_KM,Grams per kilometre,141.4,,e,estimated,,
