geo,TIME_PERIOD,ELC,TOTAL,EV_share,CO2_g_km
RO,2016,6348.0,5472423.0,0.11599980483964782,122.0
RO,2017,9947.0,5998194.0,0.16583324914132486,146.2
RO,2018,1103.0,6452536.0,0.017094054182727535,147.3
RO,2019,2798.0,6902984.0,0.04053319549922178,150.7
RO,2020,5803.0,7274728.0,0.07976930546406684,138.5
RO,2021,12433.0,7611039.0,0.1633548323691417,125.6
RO,2022,24691.0,7865186.0,0.31392773165186433,119.7
RO,2023,39271.0,8106570.0,0.48443423050686046,116.2
SE,2014,2172.0,4584711.0,0.04737485089027422,131.0
SE,2015,4765.0,4668262.0,0.10207224872982706,126.3
SE,2016,7532.0,4767262.0,0.15799425330514663,123.1
SE,2017,11034.0,4844823.0,0.22774825829550432,148.2
SE,2018,16664.0,4869979.0,0.3421780668869414,148.1
SE,2019,30343.0,4887116.0,0.6208774254591052,145.1
SE,2020,55790.0,4943293.0,1.1285999029391944,111.7
SE,2021,110177.0,4985979.0,2.209736543214482,88.3
SE,2022,197709.0,4979761.0,3.9702507811117846,66.6
SE,2023,291673.0,4976366.0,5.861164552607264,61.0
SI,2014,133.0,1068362.0,0.012448963927957005,121.3
SI,2015,288.0,1078737.0,0.026697888363892218,119.2
SI,2016,457.0,1096523.0,0.04167719236167413,119.0
SI,2017,779.0,1117935.0,0.06968204770402572,145.0
SI,2018,1308.0,1143150.0,0.11442067970082667,146.5
SI,2019,1998.0,1165371.0,0.17144754760501163,150.0
SI,2020,3670.0,1170690.0,0.3134903347598425,138.6
SI,2021,5413.0,1189457.0,0.45508160446321305,133.7
SI,2022,7977.0,1207755.0,0.660481637418185,129.1
SI,2023,12743.0,1230565.0,1.0355405850158261,123.6
SK,2014,113.0,1949100.0,0.005797547586065364,131.7
SK,2015,137.0,2034574.0,0.006733596320409089,127.6
SK,2016,198.0,2121774.0,0.009331813850108447,124.8
SK,2017,398.0,2223117.0,0.017902791441026272,152.8
SK,2018,795.0,2321608.0,0.03424350708646766,154.7
SK,2019,956.0,2393577.0,0.03994022335609007,158.0
SK,2020,1863.0,2439986.0,0.07635289710678668,144.6
SK,2021,2999.0,2493183.0,0.12028800132200484,138.0
SK,2022,4528.0,2555491.0,0.1771870845954848,136.8
SK,2023,7896.0,2644361.0,0.29859765743028277,134.9
